GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",22260768,21634328,22035630,26055431,23035821,23118958,25349067,23949629,23241399,25190886,25647599,27010951,29209028,25996119,26492325,27917965,28069251,28227410
13220,"Beckley, WV (Metropolitan Statistical Area)",3760771,3804318,3752574,3852814,4037144,4068938,4126071,4313871,4244389,4398793,4470986,4286152,4191159,3919456,3789624,3613404,3746074,3820247
13380,"Bellingham, WA (Metropolitan Statistical Area)",7824601,8493988,8668229,8704986,10539485,9767325,10151073,10061782,10306121,10696209,9579707,9456445,9796897,10049533,11419854,12196675,13306016,13515737
13460,"Bend, OR (Metropolitan Statistical Area)",4511235,4741884,5012406,5172971,5673398,6025924,6177725,5897321,5379467,5194934,5181481,5404857,5690363,6164693,6672082,7303591,7892078,8195615
13740,"Billings, MT (Metropolitan Statistical Area)",7011989,7086166,7583480,7985452,7988908,8168360,8964432,8535509,8005961,8304713,8708217,8810803,8984056,9461308,9920855,9289701,9565917,9753350
13780,"Binghamton, NY (Metropolitan Statistical Area)",8075975,8038620,8020569,8078770,8279956,8929625,9335058,9840886,10006997,10498150,10500870,10713954,10522622,10421738,10493418,10496988,10724610,10836235
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",45911960,47576262,48308761,50514944,51738429,51136415,51726923,51912538,48950865,49340750,50389242,51408900,51462649,51520220,52589375,52540527,54192007,55910633
13900,"Bismarck, ND (Metropolitan Statistical Area)",4050768,4164210,4477065,4658059,4821708,4847318,4788408,4867030,5063461,5235612,5526534,6126967,6318589,6845862,7087257,6833260,6882276,6937990
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",5365303,5457156,5779704,5809142,6160870,6578336,6761067,6370799,5979686,6015292,6252133,6285052,6334110,6429188,6644890,6659843,6766394,7023006
14010,"Bloomington, IL (Metropolitan Statistical Area)",8740717,8890849,9110311,9398701,9508172,10370562,10483824,10048006,10312972,10690882,10667444,10778397,10831190,11372251,11869056,12002700,11826318,11802499
14020,"Bloomington, IN (Metropolitan Statistical Area)",4973674,5118462,5266581,5400780,5618761,5745038,5614251,5638497,5607424,5688027,5756597,5785546,5886446,6115110,6085872,6200353,6420432,6546302
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",3163700,3338651,3338866,3481786,3566165,3815379,3786724,3831300,3855082,3979671,4055850,4054236,4126556,3996939,4020554,3991732,3962275,4033349
14260,"Boise City, ID (Metropolitan Statistical Area)",18405904,18923074,20090911,21543350,23892228,23991413,24200366,24810835,23684934,23927255,23910771,24149824,25114537,26267740,26920017,28216234,29709413,31127923
